Date,AdjClose
12/7/2001,20.691969
12/10/2001,21.045841
12/11/2001,21.040361
12/12/2001,21.931896
12/13/2001,22.192497
12/14/2001,21.918198
12/17/2001,21.890743
12/18/2001,22.324175
12/19/2001,22.346125
12/20/2001,22.217188
12/21/2001,22.121181
12/24/2001,22.016947
12/26/2001,22.082775
12/27/2001,21.986763
12/28/2001,21.811193
12/31/2001,21.706953
1/2/2002,21.945612
1/3/2002,21.734388
1/4/2002,21.52042
1/7/2002,21.273523
1/8/2002,21.331139
1/9/2002,21.177509
1/10/2002,21.103445
1/11/2002,21.180265
1/14/2002,21.588991
1/15/2002,21.849606
1/16/2002,21.910246
1/17/2002,21.965376
1/18/2002,21.998446
1/22/2002,21.890945
1/23/2002,21.664928
1/24/2002,21.4389
1/25/2002,21.813776
1/28/2002,21.819283
1/29/2002,21.367231
1/30/2002,21.579481
1/31/2002,22.513891
2/1/2002,22.759195
2/4/2002,22.795031
2/5/2002,22.772976
2/6/2002,22.73991
2/7/2002,22.637911
2/8/2002,22.626886
2/11/2002,22.522158
2/12/2002,23.029324
2/13/2002,23.078928
2/14/2002,23.164385
2/15/2002,23.426231
2/19/2002,23.153351
2/20/2002,23.428988
2/21/2002,22.905289
2/22/2002,23.594366
2/25/2002,24.082253
2/26/2002,23.842451
2/27/2002,23.566816
2/28/2002,23.371107
3/1/2002,24.131861
3/4/2002,23.974751
3/5/2002,23.445538
3/6/2002,23.442776
3/7/2002,23.136827
3/8/2002,23.131308
3/11/2002,23.180912
3/12/2002,23.506176
3/13/2002,23.489635
3/14/2002,23.426231
3/15/2002,23.999546
3/18/2002,24.162184
3/19/2002,24.790636
3/20/2002,24.696918
3/21/2002,24.917419
3/22/2002,24.834726
3/25/2002,24.738256
3/26/2002,24.655567
3/27/2002,24.812683
3/28/2002,24.831974
4/1/2002,24.80442
4/2/2002,24.972553
4/3/2002,24.603195
4/4/2002,24.801664
4/5/2002,24.752047
4/8/2002,24.87608
4/9/2002,24.842991
4/10/2002,25.45215
4/11/2002,25.168255
4/12/2002,25.339134
4/15/2002,24.958775
4/16/2002,25.137936
4/17/2002,24.941406
4/18/2002,24.470881
4/19/2002,24.598196
4/22/2002,24.603725
4/23/2002,24.606497
4/24/2002,24.753201
4/25/2002,24.750423
4/26/2002,24.855606
4/29/2002,24.910967
4/30/2002,24.98292
5/1/2002,25.409187
5/2/2002,25.807756
5/3/2002,25.450695
5/6/2002,25.519901
5/7/2002,25.370432
5/8/2002,25.409187
5/9/2002,25.481148
5/10/2002,25.575247
5/13/2002,25.799461
5/14/2002,25.755157
5/15/2002,25.506056
5/16/2002,25.733027
5/17/2002,25.912928
5/20/2002,25.575247
5/21/2002,25.215437
5/22/2002,25.436869
5/23/2002,25.290169
5/24/2002,24.98292
5/28/2002,24.360155
5/29/2002,24.086128
5/30/2002,24.564972
5/31/2002,24.786406
6/3/2002,24.800346
6/4/2002,24.978878
6/5/2002,25.25503
6/6/2002,24.978878
6/7/2002,24.920307
6/10/2002,24.881248
6/11/2002,24.825464
6/12/2002,25.941216
6/13/2002,25.517227
6/14/2002,25.53676
6/17/2002,26.192253
6/18/2002,26.189463
6/19/2002,26.331717
6/20/2002,26.178318
6/21/2002,26.178318
6/24/2002,26.05279
6/25/2002,24.825464
6/26/2002,25.405664
6/27/2002,25.729219
6/28/2002,24.90914
7/1/2002,25.112762
7/2/2002,24.903563
7/3/2002,24.646942
7/5/2002,25.070929
7/8/2002,25.202032
7/9/2002,24.518625
7/10/2002,24.532572
7/11/2002,23.974709
7/12/2002,23.327555
7/15/2002,22.956575
7/16/2002,22.663691
7/17/2002,22.447828
7/18/2002,22.53754
7/19/2002,20.875034
7/22/2002,21.819826
7/23/2002,22.20672
7/24/2002,23.058992
7/25/2002,23.835556
7/26/2002,23.605669
7/29/2002,24.452343
7/30/2002,24.469162
7/31/2002,24.948576
8/1/2002,24.634577
